periodo,ano_inicio,ano_fin,nombre,categoria,clase,hectareas,hectareas_anuales,n_poligonos,fuente,flag_calidad,es_duplicado,usado_en_agregados
2002-2004,2002,2004,Alto de Insor,Distrito Regional de Manejo Integrado,Bosque Estable,4404.82,2202.41,67,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Alto de Insor,Distrito Regional de Manejo Integrado,No Bosque Estable,2473.16,1236.58,62,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,"Ensenada de Rionegro, los Bajos Aledanos",Distrito Regional de Manejo Integrado,Bosque Estable,8753.53,4376.76,401,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,"Ensenada de Rionegro, los Bajos Aledanos",Distrito Regional de Manejo Integrado,Deforestación,155.51,77.75,181,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,"Ensenada de Rionegro, los Bajos Aledanos",Distrito Regional de Manejo Integrado,No Bosque Estable,16430.32,8215.16,342,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Serranía de Abibe,Distrito Regional de Manejo Integrado,Bosque Estable,19274.54,9637.27,1595,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Serranía de Abibe,Distrito Regional de Manejo Integrado,Deforestación,263.23,131.61,242,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Serranía de Abibe,Distrito Regional de Manejo Integrado,No Bosque Estable,20257.7,10128.85,1370,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Serranía de Abibe,Distrito Regional de Manejo Integrado,Sin Información,326.24,163.12,270,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Peque,Distrito de Conservación de Suelos,Bosque Estable,3555.14,1777.57,281,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Peque,Distrito de Conservación de Suelos,Deforestación,2.37,1.19,2,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Peque,Distrito de Conservación de Suelos,No Bosque Estable,16844.01,8422.01,208,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Peque,Distrito de Conservación de Suelos,Sin Información,4.54,2.27,4,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Las Orquideas,Parque Nacional Natural,Bosque Estable,25193.01,12596.51,252,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Las Orquideas,Parque Nacional Natural,Deforestación,8.38,4.19,14,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Las Orquideas,Parque Nacional Natural,No Bosque Estable,3542.14,1771.07,746,shapefile,geometria_epsg3115,False,True
2002-2004,2002,2004,Las Orquideas,Parque Nacional Natural,Sin Información,9.4,4.7,20,shapefile,geometria_epsg3115,False,True
