periodo,ano_inicio,ano_fin,categoria,hectareas,hectareas_anuales,pct_periodo,deforestacion_mapeada_periodo_ha
2002-2004,2002,2004,solo_titulo,316.8,158.4,8.74,3623.02
2002-2004,2002,2004,solo_solicitud,827.6,413.8,22.84,3623.02
2002-2004,2002,2004,titulo_y_solicitud,0.0,0.0,0.0,3623.02
2002-2004,2002,2004,fuera,2478.63,1239.31,68.41,3623.02
2004-2006,2004,2006,solo_titulo,414.37,207.19,14.05,2949.87
2004-2006,2004,2006,solo_solicitud,668.14,334.07,22.65,2949.87
2004-2006,2004,2006,titulo_y_solicitud,0.0,0.0,0.0,2949.87
2004-2006,2004,2006,fuera,1867.36,933.68,63.3,2949.87
2006-2008,2006,2008,solo_titulo,259.91,129.96,10.57,2459.02
2006-2008,2006,2008,solo_solicitud,463.19,231.6,18.84,2459.02
2006-2008,2006,2008,titulo_y_solicitud,0.0,0.0,0.0,2459.02
2006-2008,2006,2008,fuera,1735.92,867.96,70.59,2459.02
2008-2010,2008,2010,solo_titulo,424.02,212.01,14.87,2851.83
2008-2010,2008,2010,solo_solicitud,577.06,288.53,20.23,2851.83
2008-2010,2008,2010,titulo_y_solicitud,0.0,0.0,0.0,2851.83
2008-2010,2008,2010,fuera,1850.76,925.38,64.9,2851.83
2012-2013,2012,2013,solo_titulo,320.23,320.23,14.33,2234.92
2012-2013,2012,2013,solo_solicitud,831.65,831.65,37.21,2234.92
2012-2013,2012,2013,titulo_y_solicitud,0.0,0.0,0.0,2234.92
2012-2013,2012,2013,fuera,1083.04,1083.04,48.46,2234.92
2013-2014,2013,2014,solo_titulo,495.42,495.42,14.14,3504.72
2013-2014,2013,2014,solo_solicitud,819.06,819.06,23.37,3504.72
2013-2014,2013,2014,titulo_y_solicitud,0.0,0.0,0.0,3504.72
2013-2014,2013,2014,fuera,2190.24,2190.24,62.49,3504.72
2016-2017,2016,2017,solo_titulo,614.26,614.26,16.11,3813.8
2016-2017,2016,2017,solo_solicitud,1107.77,1107.77,29.05,3813.8
2016-2017,2016,2017,titulo_y_solicitud,0.0,0.0,0.0,3813.8
2016-2017,2016,2017,fuera,2091.77,2091.77,54.85,3813.8
2017-2018,2017,2018,solo_titulo,229.72,229.72,13.16,1745.87
2017-2018,2017,2018,solo_solicitud,396.04,396.04,22.68,1745.87
2017-2018,2017,2018,titulo_y_solicitud,0.0,0.0,0.0,1745.87
2017-2018,2017,2018,fuera,1120.11,1120.11,64.16,1745.87
2019-2020,2019,2020,solo_titulo,258.89,258.89,15.21,1702.24
2019-2020,2019,2020,solo_solicitud,649.34,649.34,38.15,1702.24
2019-2020,2019,2020,titulo_y_solicitud,0.0,0.0,0.0,1702.24
2019-2020,2019,2020,fuera,794.01,794.01,46.65,1702.24
2020-2021,2020,2021,solo_titulo,233.52,233.52,21.83,1069.66
2020-2021,2020,2021,solo_solicitud,344.57,344.57,32.21,1069.66
2020-2021,2020,2021,titulo_y_solicitud,0.0,0.0,0.0,1069.66
2020-2021,2020,2021,fuera,491.57,491.57,45.96,1069.66
2021-2022,2021,2022,solo_titulo,564.13,564.13,24.64,2289.05
2021-2022,2021,2022,solo_solicitud,644.54,644.54,28.16,2289.05
2021-2022,2021,2022,titulo_y_solicitud,0.0,0.0,0.0,2289.05
2021-2022,2021,2022,fuera,1080.38,1080.38,47.2,2289.05
2022-2023,2022,2023,solo_titulo,245.73,245.73,21.69,1132.94
2022-2023,2022,2023,solo_solicitud,282.42,282.42,24.93,1132.94
2022-2023,2022,2023,titulo_y_solicitud,0.0,0.0,0.0,1132.94
2022-2023,2022,2023,fuera,604.79,604.79,53.38,1132.94
