pomca,periodo,ano_inicio,deforestacion_ha,n_poligonos
Directos al Cauca entre Río San Juan e Ituago,2002-2004,2002,29.28,28
Directos al Cauca entre Río San Juan e Ituago,2004-2006,2004,3.06,1
Directos al Cauca entre Río San Juan e Ituago,2006-2008,2006,4.81,5
Directos al Cauca entre Río San Juan e Ituago,2008-2010,2008,7.82,11
Directos al Cauca entre Río San Juan e Ituago,2012-2013,2012,62.79,72
Directos al Cauca entre Río San Juan e Ituago,2013-2014,2013,10.9,10
Directos al Cauca entre Río San Juan e Ituago,2016-2017,2016,36.31,51
Directos al Cauca entre Río San Juan e Ituago,2017-2018,2017,17.83,10
Directos al Cauca entre Río San Juan e Ituago,2019-2020,2019,34.87,12
Directos al Cauca entre Río San Juan e Ituago,2020-2021,2020,9.47,5
Directos al Cauca entre Río San Juan e Ituago,2021-2022,2021,13.0,5
Directos al Cauca entre Río San Juan e Ituago,2022-2023,2022,4.08,2
"Río Canaletes, Los Córdobas y otros arroyos",2004-2006,2004,27.87,9
"Río Canaletes, Los Córdobas y otros arroyos",2008-2010,2008,2.8,1
"Río Canaletes, Los Córdobas y otros arroyos",2021-2022,2021,11.99,1
Río León,2002-2004,2002,824.67,558
Río León,2004-2006,2004,383.74,312
Río León,2006-2008,2006,577.71,545
Río León,2008-2010,2008,766.67,549
Río León,2012-2013,2012,183.17,85
Río León,2013-2014,2013,199.92,180
Río León,2016-2017,2016,820.17,594
Río León,2017-2018,2017,421.28,103
Río León,2019-2020,2019,134.08,81
Río León,2020-2021,2020,65.73,23
Río León,2021-2022,2021,300.58,185
Río León,2022-2023,2022,60.77,39
Río Mulaticos,2002-2004,2002,11.25,8
Río Mulaticos,2004-2006,2004,13.37,9
Río Mulaticos,2006-2008,2006,8.32,6
Río Mulaticos,2008-2010,2008,1.82,2
Río Mulaticos,2012-2013,2012,5.19,2
Río Mulaticos,2013-2014,2013,0.89,1
Río Mulaticos,2016-2017,2016,3.4,4
Río Mulaticos,2019-2020,2019,8.53,3
Río Mulaticos,2020-2021,2020,2.41,3
Río Mulaticos,2022-2023,2022,3.08,2
Río San Juan,2002-2004,2002,19.0,13
Río San Juan,2004-2006,2004,145.64,39
Río San Juan,2006-2008,2006,87.25,21
Río San Juan,2008-2010,2008,44.35,9
Río San Juan,2012-2013,2012,28.0,13
Río San Juan,2013-2014,2013,9.85,7
Río San Juan,2016-2017,2016,15.35,2
Río San Juan,2017-2018,2017,8.74,4
Río San Juan,2019-2020,2019,28.65,11
Río San Juan,2020-2021,2020,46.52,16
Río San Juan,2021-2022,2021,24.32,14
Río San Juan,2022-2023,2022,79.56,12
Río Sucio Alto,2002-2004,2002,224.89,209
Río Sucio Alto,2004-2006,2004,87.87,69
Río Sucio Alto,2006-2008,2006,92.08,73
Río Sucio Alto,2008-2010,2008,51.16,44
Río Sucio Alto,2012-2013,2012,805.08,1029
Río Sucio Alto,2013-2014,2013,173.76,124
Río Sucio Alto,2016-2017,2016,337.95,436
Río Sucio Alto,2017-2018,2017,73.63,41
Río Sucio Alto,2019-2020,2019,247.54,135
Río Sucio Alto,2020-2021,2020,104.74,55
Río Sucio Alto,2021-2022,2021,76.99,66
Río Sucio Alto,2022-2023,2022,92.48,69
Río Turbo-Currulao,2002-2004,2002,564.97,389
Río Turbo-Currulao,2004-2006,2004,457.19,314
Río Turbo-Currulao,2006-2008,2006,369.09,319
Río Turbo-Currulao,2008-2010,2008,180.65,133
Río Turbo-Currulao,2012-2013,2012,283.12,170
Río Turbo-Currulao,2013-2014,2013,361.74,153
Río Turbo-Currulao,2016-2017,2016,102.88,53
Río Turbo-Currulao,2017-2018,2017,99.67,24
Río Turbo-Currulao,2019-2020,2019,71.44,48
Río Turbo-Currulao,2020-2021,2020,71.56,36
Río Turbo-Currulao,2021-2022,2021,98.17,62
Río Turbo-Currulao,2022-2023,2022,78.69,64
