idcu,cuenca,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,n_poligonos,fuente,area_confiable,flag_calidad
7,Canalete,2000-2002,2000,2002,Bosque Estable,163.82,81.91,42,xlsx:columna_area,True,columna_validada_ok
7,Canalete,2000-2002,2000,2002,No Bosque Estable,7498.1,3749.05,20,xlsx:columna_area,True,columna_validada_ok
7,Canalete,2002-2004,2002,2004,Bosque Estable,163.84,81.92,42,shp:geometria,True,geometria_metrica
7,Canalete,2002-2004,2002,2004,No Bosque Estable,7499.03,3749.51,20,shp:geometria,True,geometria_metrica
7,Canalete,2004-2006,2004,2006,Bosque Estable,136.45,68.22,32,shp:geometria,True,geometria_metrica
7,Canalete,2004-2006,2004,2006,Deforestación,27.39,13.7,10,shp:geometria,True,geometria_metrica
7,Canalete,2004-2006,2004,2006,No Bosque Estable,7499.03,3749.51,20,shp:geometria,True,geometria_metrica
7,Canalete,2006-2008,2006,2008,Bosque Estable,135.9,67.95,33,xlsx:columna_area,True,columna_validada_ok
7,Canalete,2006-2008,2006,2008,No Bosque Estable,7526.12,3763.06,23,xlsx:columna_area,True,columna_validada_ok
7,Canalete,2008-2010,2008,2010,Bosque Estable,133.28,66.64,31,shp:geometria,True,geometria_metrica
7,Canalete,2008-2010,2008,2010,Deforestación,2.84,1.42,1,shp:geometria,True,geometria_metrica
7,Canalete,2008-2010,2008,2010,No Bosque Estable,7526.79,3763.39,18,shp:geometria,True,geometria_metrica
7,Canalete,2015-2016,2015,2016,Bosque Estable,22.64,22.64,32,shp:geometria,True,geometria_metrica
7,Canalete,2015-2016,2015,2016,Deforestación,1.91,1.91,2,shp:geometria,True,geometria_metrica
7,Canalete,2015-2016,2015,2016,No Bosque Estable,7639.15,7639.15,4,shp:geometria,True,geometria_metrica
7,Canalete,2015-2016,2015,2016,Sin Información,0.12,0.12,2,shp:geometria,True,geometria_metrica
7,Canalete,2016-2017,2016,2017,Bosque Estable,22.71,22.71,30,shp:geometria,True,geometria_metrica
