periodo,ano_inicio,ano_fin,municipio,codigo_dane,subregion,n_parches,ha_total,tamano_medio_ha,tamano_mediano_ha,tamano_max_ha,pct_parches_grandes,fuente_calidad
2002-2004,2002,2004,Turbo,05837,Centro,855,1221.8,1.429,0.83,84.15,1.4,shapefile_ok
2002-2004,2002,2004,Mutatá,05480,Centro,342,570.42,1.668,0.93,34.83,1.75,shapefile_ok
2002-2004,2002,2004,Necoclí,05490,Caribe,330,455.65,1.381,0.83,17.59,1.82,shapefile_ok
2002-2004,2002,2004,Chigorodó,05172,Centro,259,320.94,1.239,0.86,11.51,0.77,shapefile_ok
2002-2004,2002,2004,Urrao,05847,Urrao,182,273.84,1.505,1.14,9.77,0.0,shapefile_ok
2002-2004,2002,2004,Dabeiba,05234,Nutibara,232,268.85,1.159,0.935,8.06,0.0,shapefile_ok
2002-2004,2002,2004,Carepa,05147,Centro,95,267.71,2.818,0.79,104.63,2.11,shapefile_ok
2002-2004,2002,2004,Frontino,05284,Nutibara,64,76.11,1.189,1.03,5.06,0.0,shapefile_ok
2002-2004,2002,2004,Peque,05543,Nutibara,37,52.48,1.418,0.75,11.98,2.7,shapefile_ok
2002-2004,2002,2004,Vigía del Fuerte,05873,Atrato,41,47.08,1.148,0.84,4.08,0.0,shapefile_ok
2002-2004,2002,2004,Apartadó,05045,Centro,36,39.97,1.11,0.925,4.01,0.0,shapefile_ok
2002-2004,2002,2004,Murindó,05475,Atrato,22,30.15,1.37,0.92,6.06,0.0,shapefile_ok
2002-2004,2002,2004,Uramita,05842,Nutibara,17,21.56,1.268,0.98,4.4,0.0,shapefile_ok
2002-2004,2002,2004,San Pedro de Urabá,05665,Caribe,10,14.13,1.413,1.115,3.42,0.0,shapefile_ok
2002-2004,2002,2004,Cañasgordas,05138,Nutibara,15,12.39,0.826,0.85,1.72,0.0,shapefile_ok
2002-2004,2002,2004,Abriaquí,05004,Nutibara,6,8.99,1.498,0.98,4.61,0.0,shapefile_ok
2002-2004,2002,2004,Arboletes,05051,Caribe,3,6.56,2.187,1.4,4.59,0.0,shapefile_ok
2002-2004,2002,2004,San Juan de Urabá,05659,Caribe,1,2.32,2.32,2.32,2.32,0.0,shapefile_ok
2004-2006,2004,2006,Turbo,05837,Centro,510,802.8,1.574,0.945,21.88,1.76,shapefile_ok
2004-2006,2004,2006,Necoclí,05490,Caribe,303,501.44,1.655,0.96,33.47,1.98,shapefile_ok
2004-2006,2004,2006,Murindó,05475,Atrato,167,322.78,1.933,0.79,37.87,2.99,shapefile_ok
2004-2006,2004,2006,Mutatá,05480,Centro,204,312.06,1.53,0.94,17.71,0.98,shapefile_ok
2004-2006,2004,2006,Urrao,05847,Urrao,223,308.07,1.381,1.03,9.02,0.0,shapefile_ok
2004-2006,2004,2006,Arboletes,05051,Caribe,36,156.28,4.341,1.615,20.38,13.89,shapefile_ok
2004-2006,2004,2006,Chigorodó,05172,Centro,129,139.04,1.078,0.84,5.37,0.0,shapefile_ok
2004-2006,2004,2006,Dabeiba,05234,Nutibara,86,112.87,1.312,0.99,6.83,0.0,shapefile_ok
2004-2006,2004,2006,Vigía del Fuerte,05873,Atrato,76,100.06,1.317,0.71,20.17,1.32,shapefile_ok
2004-2006,2004,2006,Carepa,05147,Centro,49,68.85,1.405,0.93,7.37,0.0,shapefile_ok
2004-2006,2004,2006,Apartadó,05045,Centro,48,61.92,1.29,0.92,5.63,0.0,shapefile_ok
2004-2006,2004,2006,Frontino,05284,Nutibara,31,43.05,1.389,1.15,3.69,0.0,shapefile_ok
2004-2006,2004,2006,San Pedro de Urabá,05665,Caribe,14,26.22,1.873,1.6,5.13,0.0,shapefile_ok
2004-2006,2004,2006,Cañasgordas,05138,Nutibara,14,22.2,1.586,1.095,5.31,0.0,shapefile_ok
2004-2006,2004,2006,Peque,05543,Nutibara,5,9.66,1.932,1.68,3.62,0.0,shapefile_ok
2004-2006,2004,2006,San Juan de Urabá,05659,Caribe,3,7.98,2.66,1.54,5.71,0.0,shapefile_ok
2004-2006,2004,2006,Uramita,05842,Nutibara,7,6.09,0.87,0.84,1.59,0.0,shapefile_ok
2006-2008,2006,2008,Turbo,05837,Centro,627,704.08,1.123,0.77,25.87,1.12,shapefile_ok
2006-2008,2006,2008,Necoclí,05490,Caribe,407,392.61,0.965,0.63,10.89,0.25,shapefile_ok
2006-2008,2006,2008,Mutatá,05480,Centro,282,366.15,1.298,0.815,17.94,1.06,shapefile_ok
2006-2008,2006,2008,Apartadó,05045,Centro,165,197.48,1.197,0.76,16.65,1.21,shapefile_ok
2006-2008,2006,2008,Dabeiba,05234,Nutibara,112,173.74,1.551,1.005,21.09,1.79,shapefile_ok
2006-2008,2006,2008,Urrao,05847,Urrao,130,167.15,1.286,0.965,7.82,0.0,shapefile_ok
2006-2008,2006,2008,Chigorodó,05172,Centro,130,137.26,1.056,0.95,4.3,0.0,shapefile_ok
2006-2008,2006,2008,Carepa,05147,Centro,111,121.37,1.093,0.72,5.86,0.0,shapefile_ok
2006-2008,2006,2008,Arboletes,05051,Caribe,14,82.78,5.913,0.765,71.24,7.14,shapefile_ok
2006-2008,2006,2008,Murindó,05475,Atrato,32,66.07,2.065,1.775,9.47,0.0,shapefile_ok
2006-2008,2006,2008,Frontino,05284,Nutibara,41,48.83,1.191,0.83,11.64,2.44,shapefile_ok
2006-2008,2006,2008,Cañasgordas,05138,Nutibara,10,21.57,2.157,1.27,8.24,0.0,shapefile_ok
2006-2008,2006,2008,Uramita,05842,Nutibara,9,14.48,1.609,1.23,2.96,0.0,shapefile_ok
2006-2008,2006,2008,Vigía del Fuerte,05873,Atrato,11,9.2,0.836,0.79,2.03,0.0,shapefile_ok
2006-2008,2006,2008,San Pedro de Urabá,05665,Caribe,9,7.17,0.797,0.84,1.43,0.0,shapefile_ok
2006-2008,2006,2008,Peque,05543,Nutibara,5,5.02,1.004,0.93,1.46,0.0,shapefile_ok
2006-2008,2006,2008,Abriaquí,05004,Nutibara,1,1.47,1.47,1.47,1.47,0.0,shapefile_ok
2006-2008,2006,2008,San Juan de Urabá,05659,Caribe,1,1.41,1.41,1.41,1.41,0.0,shapefile_ok
2008-2010,2008,2010,Turbo,05837,Centro,437,718.78,1.645,0.87,164.11,0.92,shapefile_ok
2008-2010,2008,2010,Mutatá,05480,Centro,320,554.78,1.734,0.8,46.66,3.12,shapefile_ok
2008-2010,2008,2010,Carepa,05147,Centro,177,348.82,1.971,1.1,35.09,2.26,shapefile_ok
