periodo,ano_inicio,ano_fin,resguardo,pueblo,clase,hectareas,hectareas_anuales,poligonos,fuente,calidad_fuente
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Bosque Estable,0.0,0.0,75,excel,solo_conteo
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Deforestación,0.0,0.0,9,excel,solo_conteo
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,No Bosque Estable,0.0,0.0,177,excel,solo_conteo
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Sin Información,0.0,0.0,29,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Coribi Bedado,Embera Katío,Bosque Estable,0.0,0.0,12,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Coribi Bedado,Embera Katío,Deforestación,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Coribi Bedado,Embera Katío,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena El Mango del Pueblo Senú,Senú/Zenú,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera - Catio de ""El Pital"" - Narikizavi",Embera Katío,Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera - Catio de ""El Pital"" - Narikizavi",Embera Katío,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Bosque Estable,0.0,0.0,195,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Deforestación,0.0,0.0,7,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,No Bosque Estable,0.0,0.0,543,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Sin Información,0.0,0.0,294,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Bosque Estable,0.0,0.0,24,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Deforestación,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,No Bosque Estable,0.0,0.0,114,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Sin Información,0.0,0.0,12,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,Bosque Estable,0.0,0.0,113,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,Deforestación,0.0,0.0,5,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,No Bosque Estable,0.0,0.0,255,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,Deforestación,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Chami y Zenu De La Palma,Embera Chamí-Zenú,Bosque Estable,0.0,0.0,25,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Chami y Zenu De La Palma,Embera Chamí-Zenú,No Bosque Estable,0.0,0.0,13,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Drua,Embera,Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Drua,Embera,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio de Sever,Embera Katío,Bosque Estable,0.0,0.0,95,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio de Sever,Embera Katío,Deforestación,0.0,0.0,6,excel,solo_conteo
