figura,periodo,ano_inicio,ano_fin,hectareas_dentro,hectareas_anuales,pct_mapeado_periodo,deforestacion_mapeada_periodo_ha
Ley 2a de 1959,2002-2004,2002,2004,466.27,233.14,15.99,2915.71
Area protegida,2002-2004,2002,2004,308.75,154.37,10.59,2915.71
AEIA importancia alta,2002-2004,2002,2004,1314.41,657.21,45.08,2915.71
Ley 2a de 1959,2004-2006,2004,2006,689.36,344.68,28.19,2445.11
Area protegida,2004-2006,2004,2006,259.81,129.9,10.63,2445.11
AEIA importancia alta,2004-2006,2004,2006,978.82,489.41,40.03,2445.11
Ley 2a de 1959,2006-2008,2006,2008,307.17,153.59,16.64,1845.89
Area protegida,2006-2008,2006,2008,333.83,166.92,18.09,1845.89
AEIA importancia alta,2006-2008,2006,2008,767.73,383.87,41.59,1845.89
Ley 2a de 1959,2008-2010,2008,2010,489.3,244.65,21.31,2296.53
Area protegida,2008-2010,2008,2010,335.49,167.75,14.61,2296.53
AEIA importancia alta,2008-2010,2008,2010,1229.47,614.73,53.54,2296.53
Ley 2a de 1959,2012-2013,2012,2013,685.07,685.07,39.37,1739.95
Area protegida,2012-2013,2012,2013,206.95,206.95,11.89,1739.95
AEIA importancia alta,2012-2013,2012,2013,761.71,761.71,43.78,1739.95
Ley 2a de 1959,2013-2014,2013,2014,1033.72,1033.72,33.57,3079.41
Area protegida,2013-2014,2013,2014,617.29,617.29,20.05,3079.41
AEIA importancia alta,2013-2014,2013,2014,1794.35,1794.35,58.27,3079.41
Ley 2a de 1959,2016-2017,2016,2017,1357.62,1357.62,44.91,3023.08
Area protegida,2016-2017,2016,2017,443.22,443.22,14.66,3023.08
AEIA importancia alta,2016-2017,2016,2017,1593.88,1593.88,52.72,3023.08
Ley 2a de 1959,2017-2018,2017,2018,595.75,595.75,38.59,1543.96
Area protegida,2017-2018,2017,2018,204.3,204.3,13.23,1543.96
AEIA importancia alta,2017-2018,2017,2018,1034.46,1034.46,67.0,1543.96
Ley 2a de 1959,2019-2020,2019,2020,657.41,657.41,45.04,1459.68
Area protegida,2019-2020,2019,2020,104.64,104.64,7.17,1459.68
AEIA importancia alta,2019-2020,2019,2020,737.89,737.89,50.55,1459.68
Ley 2a de 1959,2020-2021,2020,2021,550.46,550.46,59.64,922.92
Area protegida,2020-2021,2020,2021,65.38,65.38,7.08,922.92
AEIA importancia alta,2020-2021,2020,2021,456.6,456.6,49.47,922.92
Ley 2a de 1959,2021-2022,2021,2022,950.49,950.49,48.81,1947.21
Area protegida,2021-2022,2021,2022,203.36,203.36,10.44,1947.21
AEIA importancia alta,2021-2022,2021,2022,954.42,954.42,49.01,1947.21
Ley 2a de 1959,2022-2023,2022,2023,526.83,526.83,60.76,867.12
Area protegida,2022-2023,2022,2023,91.03,91.03,10.5,867.12
AEIA importancia alta,2022-2023,2022,2023,407.63,407.63,47.01,867.12
