periodo,ano_inicio,ano_fin,consejo,clase,hectareas,hectareas_anuales,poligonos,fuente,calidad_fuente
2002-2004,2002,2004,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,Bosque Estable,3.09,1.54,7,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,Deforestación,0.07,0.04,2,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,47.28,23.64,1,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Manatíes,Bosque Estable,3921.1,1960.55,40,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Manatíes,Deforestación,34.96,17.48,17,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Manatíes,No Bosque Estable,441.21,220.6,67,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,145816.61,72908.3,1936,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,63.71,31.86,55,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,26145.53,13072.76,2784,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,2750.06,1375.03,590,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,8424.49,4212.24,179,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,1494.29,747.14,288,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Por El Desarrollo Integral,Sin Información,96.99,48.5,59,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10990.68,5495.34,155,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Por La Identidad Cultural,Deforestación,9.06,4.53,6,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1503.47,751.74,171,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario Por La Identidad Cultural,Sin Información,1.74,0.87,2,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,11282.18,5641.09,396,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario de Bocas De Atrato y Leoncito,Deforestación,77.59,38.8,75,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,22452.59,11226.3,514,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario de Los Mangos,Bosque Estable,18.15,9.07,11,shapefile,geometria
2002-2004,2002,2004,Consejo Comunitario de Los Mangos,No Bosque Estable,346.49,173.24,1,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,Bosque Estable,0.86,0.43,1,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,49.58,24.79,1,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Manatíes,Bosque Estable,3920.13,1960.06,40,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Manatíes,Deforestación,0.33,0.16,2,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Manatíes,No Bosque Estable,476.82,238.41,76,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,146027.27,73013.63,1969,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,167.92,83.96,119,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,26239.74,13119.87,2889,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Mayor del Medio Atrato - ACIA,Regeneración,0.79,0.4,5,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,2340.46,1170.23,411,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,8461.92,4230.96,197,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Por El Desarrollo Integral,Deforestación,23.1,11.55,21,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,1527.94,763.97,291,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Por El Desarrollo Integral,Sin Información,2.7,1.35,3,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10984.59,5492.3,160,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Por La Identidad Cultural,Deforestación,4.75,2.38,5,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1515.6,757.8,176,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,11226.19,5613.1,375,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario de Bocas De Atrato y Leoncito,Deforestación,50.62,25.31,29,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,22535.56,11267.78,519,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario de Los Mangos,Bosque Estable,17.81,8.9,8,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario de Los Mangos,No Bosque Estable,346.01,173.0,1,shapefile,geometria
2004-2006,2004,2006,Consejo Comunitario de Los Mangos,Sin Información,0.83,0.42,2,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,Bosque Estable,0.86,0.43,1,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,49.58,24.79,1,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Manatíes,Bosque Estable,3914.03,1957.02,61,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Manatíes,Deforestación,5.69,2.84,13,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Manatíes,No Bosque Estable,477.54,238.77,97,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,145741.35,72870.68,2092,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,52.25,26.12,36,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,26397.74,13198.87,3542,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Mayor del Medio Atrato - ACIA,Regeneración,4.21,2.1,3,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,2580.53,1290.27,1114,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,8430.09,4215.04,201,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por El Desarrollo Integral,Deforestación,4.27,2.13,3,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,1548.05,774.02,357,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por El Desarrollo Integral,Sin Información,33.25,16.62,55,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10969.82,5484.91,216,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por La Identidad Cultural,Deforestación,8.92,4.46,9,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1524.41,762.2,248,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario Por La Identidad Cultural,Sin Información,1.8,0.9,5,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,11223.55,5611.78,490,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario de Bocas De Atrato y Leoncito,Deforestación,1.56,0.78,1,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,22586.71,11293.36,597,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,0.35,0.18,2,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario de Los Mangos,Bosque Estable,15.53,7.76,9,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario de Los Mangos,Deforestación,3.45,1.72,5,shapefile,geometria
2006-2008,2006,2008,Consejo Comunitario de Los Mangos,No Bosque Estable,345.66,172.83,1,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,Bosque Estable,0.86,0.43,1,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,49.58,24.79,1,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Manatíes,Bosque Estable,3907.47,1953.74,38,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Manatíes,Deforestación,12.55,6.28,13,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Manatíes,No Bosque Estable,442.97,221.48,90,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Manatíes,Sin Información,34.28,17.14,21,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,145810.87,72905.44,1933,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,88.72,44.36,63,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,26364.93,13182.46,2583,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,2513.87,1256.94,1169,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,8221.26,4110.63,179,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por El Desarrollo Integral,Deforestación,82.81,41.4,39,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,1532.15,766.08,292,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por El Desarrollo Integral,Sin Información,179.32,89.66,109,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10976.01,5488.0,159,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por La Identidad Cultural,Deforestación,7.78,3.89,7,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1517.29,758.64,177,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario Por La Identidad Cultural,Sin Información,3.86,1.93,1,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,11080.65,5540.32,352,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario de Bocas De Atrato y Leoncito,Deforestación,176.86,88.43,19,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,22545.02,11272.51,490,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,9.74,4.87,15,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario de Los Mangos,Bosque Estable,16.3,8.15,5,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario de Los Mangos,No Bosque Estable,347.26,173.63,2,shapefile,geometria
2008-2010,2008,2010,Consejo Comunitario de Los Mangos,Sin Información,1.08,0.54,2,shapefile,geometria
2014-2015,2014,2015,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,,,1,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario Manatíes,Bosque Estable,,,39,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario Manatíes,Deforestación,,,9,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario Manatíes,No Bosque Estable,,,83,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,,,1331,excel,solo_conteo
