periodo,ano_inicio,ano_fin,municipio,codigo_dane,subregion,n_parches,ha_total,tamano_medio_ha,tamano_mediano_ha,tamano_max_ha,pct_parches_grandes,fuente_calidad
2002-2004,2002,2004,Turbo,05837,Centro,349,1010.07,2.894,1.71,84.15,3.44,shapefile_ok
2002-2004,2002,2004,Mutatá,05480,Centro,155,489.36,3.157,1.69,34.83,3.87,shapefile_ok
2002-2004,2002,2004,Necoclí,05490,Caribe,127,361.78,2.849,1.92,17.59,4.72,shapefile_ok
2002-2004,2002,2004,Chigorodó,05172,Centro,110,255.18,2.32,1.735,11.51,1.82,shapefile_ok
2002-2004,2002,2004,Carepa,05147,Centro,42,245.99,5.857,2.08,104.63,4.76,shapefile_ok
2002-2004,2002,2004,Urrao,05847,Urrao,112,235.38,2.102,1.675,9.77,0.0,shapefile_ok
2002-2004,2002,2004,Dabeiba,05234,Nutibara,111,209.04,1.883,1.53,8.06,0.0,shapefile_ok
2002-2004,2002,2004,Frontino,05284,Nutibara,34,61.55,1.81,1.515,5.06,0.0,shapefile_ok
2002-2004,2002,2004,Peque,05543,Nutibara,11,39.42,3.584,2.15,11.98,9.09,shapefile_ok
2002-2004,2002,2004,Vigía del Fuerte,05873,Atrato,16,31.28,1.955,1.51,4.08,0.0,shapefile_ok
2002-2004,2002,2004,Apartadó,05045,Centro,17,29.16,1.715,1.47,4.01,0.0,shapefile_ok
2002-2004,2002,2004,Murindó,05475,Atrato,11,23.43,2.13,1.31,6.06,0.0,shapefile_ok
2002-2004,2002,2004,Uramita,05842,Nutibara,8,15.32,1.915,1.49,4.4,0.0,shapefile_ok
2002-2004,2002,2004,San Pedro de Urabá,05665,Caribe,5,12.06,2.412,2.33,3.42,0.0,shapefile_ok
2002-2004,2002,2004,Cañasgordas,05138,Nutibara,5,7.07,1.414,1.52,1.72,0.0,shapefile_ok
2002-2004,2002,2004,Abriaquí,05004,Nutibara,3,7.0,2.333,1.22,4.61,0.0,shapefile_ok
2002-2004,2002,2004,Arboletes,05051,Caribe,2,5.99,2.995,2.995,4.59,0.0,shapefile_ok
2002-2004,2002,2004,San Juan de Urabá,05659,Caribe,1,2.32,2.32,2.32,2.32,0.0,shapefile_ok
2004-2006,2004,2006,Turbo,05837,Centro,241,674.11,2.797,1.83,21.88,3.73,shapefile_ok
2004-2006,2004,2006,Necoclí,05490,Caribe,144,427.66,2.97,1.96,33.47,4.17,shapefile_ok
2004-2006,2004,2006,Murindó,05475,Atrato,64,277.3,4.333,1.92,37.87,7.81,shapefile_ok
2004-2006,2004,2006,Mutatá,05480,Centro,99,268.31,2.71,2.14,17.71,2.02,shapefile_ok
2004-2006,2004,2006,Urrao,05847,Urrao,123,255.45,2.077,1.57,9.02,0.0,shapefile_ok
2004-2006,2004,2006,Arboletes,05051,Caribe,21,149.76,7.131,5.91,20.38,23.81,shapefile_ok
2004-2006,2004,2006,Chigorodó,05172,Centro,52,104.94,2.018,1.5,5.37,0.0,shapefile_ok
2004-2006,2004,2006,Dabeiba,05234,Nutibara,43,92.25,2.145,1.69,6.83,0.0,shapefile_ok
2004-2006,2004,2006,Vigía del Fuerte,05873,Atrato,27,78.31,2.9,1.57,20.17,3.7,shapefile_ok
2004-2006,2004,2006,Carepa,05147,Centro,24,55.85,2.327,1.555,7.37,0.0,shapefile_ok
2004-2006,2004,2006,Apartadó,05045,Centro,20,47.12,2.356,1.815,5.63,0.0,shapefile_ok
2004-2006,2004,2006,Frontino,05284,Nutibara,21,37.87,1.803,1.42,3.69,0.0,shapefile_ok
2004-2006,2004,2006,San Pedro de Urabá,05665,Caribe,8,23.5,2.938,2.66,5.13,0.0,shapefile_ok
2004-2006,2004,2006,Cañasgordas,05138,Nutibara,7,17.79,2.541,2.29,5.31,0.0,shapefile_ok
2004-2006,2004,2006,Peque,05543,Nutibara,3,8.06,2.687,2.76,3.62,0.0,shapefile_ok
2004-2006,2004,2006,San Juan de Urabá,05659,Caribe,2,7.25,3.625,3.625,5.71,0.0,shapefile_ok
2004-2006,2004,2006,Uramita,05842,Nutibara,3,4.29,1.43,1.39,1.59,0.0,shapefile_ok
2006-2008,2006,2008,Turbo,05837,Centro,213,515.13,2.418,1.6,25.87,3.29,shapefile_ok
2006-2008,2006,2008,Mutatá,05480,Centro,115,294.98,2.565,1.66,17.94,2.61,shapefile_ok
2006-2008,2006,2008,Necoclí,05490,Caribe,128,283.45,2.214,1.65,10.89,0.78,shapefile_ok
2006-2008,2006,2008,Apartadó,05045,Centro,62,150.96,2.435,1.645,16.65,3.23,shapefile_ok
2006-2008,2006,2008,Dabeiba,05234,Nutibara,57,150.4,2.639,1.55,21.09,3.51,shapefile_ok
2006-2008,2006,2008,Urrao,05847,Urrao,62,126.86,2.046,1.7,7.82,0.0,shapefile_ok
2006-2008,2006,2008,Chigorodó,05172,Centro,62,107.38,1.732,1.455,4.3,0.0,shapefile_ok
2006-2008,2006,2008,Carepa,05147,Centro,41,94.36,2.301,1.74,5.86,0.0,shapefile_ok
2006-2008,2006,2008,Arboletes,05051,Caribe,7,81.0,11.571,1.46,71.24,14.29,shapefile_ok
2006-2008,2006,2008,Murindó,05475,Atrato,24,61.45,2.56,2.175,9.47,0.0,shapefile_ok
2006-2008,2006,2008,Frontino,05284,Nutibara,15,34.72,2.315,1.59,11.64,6.67,shapefile_ok
2006-2008,2006,2008,Cañasgordas,05138,Nutibara,6,19.91,3.318,2.39,8.24,0.0,shapefile_ok
2006-2008,2006,2008,Uramita,05842,Nutibara,6,12.39,2.065,2.055,2.96,0.0,shapefile_ok
2006-2008,2006,2008,San Pedro de Urabá,05665,Caribe,4,4.98,1.245,1.265,1.43,0.0,shapefile_ok
2006-2008,2006,2008,Vigía del Fuerte,05873,Atrato,3,4.19,1.397,1.14,2.03,0.0,shapefile_ok
2006-2008,2006,2008,Abriaquí,05004,Nutibara,1,1.47,1.47,1.47,1.47,0.0,shapefile_ok
2006-2008,2006,2008,Peque,05543,Nutibara,1,1.46,1.46,1.46,1.46,0.0,shapefile_ok
2006-2008,2006,2008,San Juan de Urabá,05659,Caribe,1,1.41,1.41,1.41,1.41,0.0,shapefile_ok
2008-2010,2008,2010,Turbo,05837,Centro,184,594.91,3.233,1.505,164.11,2.17,shapefile_ok
2008-2010,2008,2010,Mutatá,05480,Centro,127,473.18,3.726,2.0,46.66,7.87,shapefile_ok
2008-2010,2008,2010,Carepa,05147,Centro,93,314.01,3.376,2.07,35.09,4.3,shapefile_ok
2008-2010,2008,2010,Urrao,05847,Urrao,86,191.3,2.224,1.56,17.91,2.33,shapefile_ok
2008-2010,2008,2010,Necoclí,05490,Caribe,74,187.56,2.535,1.705,22.38,1.35,shapefile_ok
2008-2010,2008,2010,Murindó,05475,Atrato,65,154.55,2.378,1.78,15.41,3.08,shapefile_ok
2008-2010,2008,2010,Chigorodó,05172,Centro,48,111.98,2.333,1.66,8.35,0.0,shapefile_ok
2008-2010,2008,2010,Dabeiba,05234,Nutibara,51,109.79,2.153,1.79,7.71,0.0,shapefile_ok
2008-2010,2008,2010,Apartadó,05045,Centro,31,79.98,2.58,1.99,6.66,0.0,shapefile_ok
2008-2010,2008,2010,Vigía del Fuerte,05873,Atrato,25,59.78,2.391,1.44,16.98,4.0,shapefile_ok
2008-2010,2008,2010,Frontino,05284,Nutibara,28,48.08,1.717,1.49,4.1,0.0,shapefile_ok
2008-2010,2008,2010,San Pedro de Urabá,05665,Caribe,4,23.89,5.973,4.845,12.99,25.0,shapefile_ok
2008-2010,2008,2010,Arboletes,05051,Caribe,6,23.54,3.923,2.2,12.63,16.67,shapefile_ok
2008-2010,2008,2010,Cañasgordas,05138,Nutibara,5,7.91,1.582,1.5,2.31,0.0,shapefile_ok
2008-2010,2008,2010,Peque,05543,Nutibara,5,7.67,1.534,1.76,1.84,0.0,shapefile_ok
