codigo_dane,municipio,subregion,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,fuente,estimado
05004,Abriaquí,Nutibara,2000-2002,2000,2002,Bosque Estable,13423.94,6711.97,excel,False
05004,Abriaquí,Nutibara,2000-2002,2000,2002,Deforestación,9.05,4.53,excel,False
05004,Abriaquí,Nutibara,2000-2002,2000,2002,No Bosque Estable,16259.23,8129.62,excel,False
05045,Apartadó,Centro,2000-2002,2000,2002,Bosque Estable,17703.41,8851.7,excel,False
05045,Apartadó,Centro,2000-2002,2000,2002,Deforestación,16.41,8.2,excel,False
05045,Apartadó,Centro,2000-2002,2000,2002,No Bosque Estable,35423.51,17711.76,excel,False
05045,Apartadó,Centro,2000-2002,2000,2002,Sin Información,252.81,126.4,excel,False
05051,Arboletes,Caribe,2000-2002,2000,2002,Bosque Estable,1237.91,618.96,excel,False
05051,Arboletes,Caribe,2000-2002,2000,2002,Deforestación,2.68,1.34,excel,False
05051,Arboletes,Caribe,2000-2002,2000,2002,No Bosque Estable,72954.65,36477.32,excel,False
05051,Arboletes,Caribe,2000-2002,2000,2002,Sin Información,0.75,0.38,excel,False
05147,Carepa,Centro,2000-2002,2000,2002,Bosque Estable,6956.56,3478.28,excel,False
05147,Carepa,Centro,2000-2002,2000,2002,Deforestación,19.71,9.86,excel,False
05147,Carepa,Centro,2000-2002,2000,2002,No Bosque Estable,31371.94,15685.97,excel,False
05147,Carepa,Centro,2000-2002,2000,2002,Sin Información,106.36,53.18,excel,False
05138,Cañasgordas,Nutibara,2000-2002,2000,2002,Bosque Estable,11950.82,5975.41,excel,False
05138,Cañasgordas,Nutibara,2000-2002,2000,2002,Deforestación,8.04,4.02,excel,False
05138,Cañasgordas,Nutibara,2000-2002,2000,2002,No Bosque Estable,24516.82,12258.41,excel,False
05172,Chigorodó,Centro,2000-2002,2000,2002,Bosque Estable,21398.01,10699.0,excel,False
05172,Chigorodó,Centro,2000-2002,2000,2002,Deforestación,6.79,3.4,excel,False
05172,Chigorodó,Centro,2000-2002,2000,2002,No Bosque Estable,48882.69,24441.34,excel,False
05172,Chigorodó,Centro,2000-2002,2000,2002,Sin Información,339.19,169.6,excel,False
05234,Dabeiba,Nutibara,2000-2002,2000,2002,Bosque Estable,142038.26,71019.13,excel,False
05234,Dabeiba,Nutibara,2000-2002,2000,2002,Deforestación,181.34,90.67,excel,False
05234,Dabeiba,Nutibara,2000-2002,2000,2002,No Bosque Estable,48785.36,24392.68,excel,False
05234,Dabeiba,Nutibara,2000-2002,2000,2002,Sin Información,4218.14,2109.07,excel,False
05284,Frontino,Nutibara,2000-2002,2000,2002,Bosque Estable,91701.19,45850.6,excel,False
05284,Frontino,Nutibara,2000-2002,2000,2002,Deforestación,85.78,42.89,excel,False
05284,Frontino,Nutibara,2000-2002,2000,2002,No Bosque Estable,45248.33,22624.16,excel,False
05284,Frontino,Nutibara,2000-2002,2000,2002,Regeneración,0.63,0.32,excel,False
05284,Frontino,Nutibara,2000-2002,2000,2002,Sin Información,1409.68,704.84,excel,False
05306,Giraldo,Nutibara,2000-2002,2000,2002,Bosque Estable,1305.01,652.5,excel,False
05306,Giraldo,Nutibara,2000-2002,2000,2002,Deforestación,1.06,0.53,excel,False
05306,Giraldo,Nutibara,2000-2002,2000,2002,No Bosque Estable,8031.94,4015.97,excel,False
05475,Murindó,Atrato,2000-2002,2000,2002,Bosque Estable,105373.27,52686.64,excel,False
05475,Murindó,Atrato,2000-2002,2000,2002,Deforestación,26.23,13.12,excel,False
05475,Murindó,Atrato,2000-2002,2000,2002,No Bosque Estable,14296.18,7148.09,excel,False
05475,Murindó,Atrato,2000-2002,2000,2002,Sin Información,5512.09,2756.04,excel,False
05480,Mutatá,Centro,2000-2002,2000,2002,Bosque Estable,67022.68,33511.34,excel,False
05480,Mutatá,Centro,2000-2002,2000,2002,Deforestación,285.86,142.93,excel,False
05480,Mutatá,Centro,2000-2002,2000,2002,No Bosque Estable,35050.85,17525.42,excel,False
05480,Mutatá,Centro,2000-2002,2000,2002,Sin Información,3730.56,1865.28,excel,False
05490,Necoclí,Caribe,2000-2002,2000,2002,Bosque Estable,22055.72,11027.86,excel,False
05490,Necoclí,Caribe,2000-2002,2000,2002,Deforestación,142.45,71.22,excel,False
05490,Necoclí,Caribe,2000-2002,2000,2002,No Bosque Estable,103110.2,51555.1,excel,False
05490,Necoclí,Caribe,2000-2002,2000,2002,Sin Información,4.58,2.29,excel,False
05543,Peque,Nutibara,2000-2002,2000,2002,Bosque Estable,14305.56,7152.78,excel,False
05543,Peque,Nutibara,2000-2002,2000,2002,Deforestación,26.19,13.1,excel,False
05543,Peque,Nutibara,2000-2002,2000,2002,No Bosque Estable,29043.09,14521.54,excel,False
05543,Peque,Nutibara,2000-2002,2000,2002,Sin Información,2.86,1.43,excel,False
05659,San Juan de Urabá,Caribe,2000-2002,2000,2002,Bosque Estable,243.83,121.92,excel,False
05659,San Juan de Urabá,Caribe,2000-2002,2000,2002,No Bosque Estable,24871.48,12435.74,excel,False
05659,San Juan de Urabá,Caribe,2000-2002,2000,2002,Sin Información,18.63,9.32,excel,False
05665,San Pedro de Urabá,Caribe,2000-2002,2000,2002,Bosque Estable,1530.87,765.44,excel,False
05665,San Pedro de Urabá,Caribe,2000-2002,2000,2002,Deforestación,0.79,0.4,excel,False
05665,San Pedro de Urabá,Caribe,2000-2002,2000,2002,No Bosque Estable,55071.13,27535.56,excel,False
05837,Turbo,Centro,2000-2002,2000,2002,Bosque Estable,74841.49,37420.75,excel,False
05837,Turbo,Centro,2000-2002,2000,2002,Deforestación,153.08,76.54,excel,False
05837,Turbo,Centro,2000-2002,2000,2002,No Bosque Estable,214333.41,107166.7,excel,False
05837,Turbo,Centro,2000-2002,2000,2002,Sin Información,51.32,25.66,excel,False
05842,Uramita,Nutibara,2000-2002,2000,2002,Bosque Estable,4638.42,2319.21,excel,False
05842,Uramita,Nutibara,2000-2002,2000,2002,Deforestación,17.0,8.5,excel,False
05842,Uramita,Nutibara,2000-2002,2000,2002,No Bosque Estable,21938.28,10969.14,excel,False
05847,Urrao,Urrao,2000-2002,2000,2002,Bosque Estable,169147.51,84573.76,excel,False
